"PREDICTED_INDUCED_VERTICAL_BREAK","GAME_CODE","PITCHER_KEY","THROW_SIDE_KEY","BAT_SIDE_KEY","INNING_KEY","BATTER_IN_INNING_KEY","PITCH_NUMBER","CURRENT_BALLS","CURRENT_STRIKES","PITCH_RESULT_KEY","EVENT_RESULT_KEY","PITCH_TYPE_KEY","RELEASE_SPEED","PLATE_SPEED","SPIN_RATE","SPIN_DIRECTION","SZ_TOP","SZ_BOTTOM","PLATE_X","PLATE_Z","B","S","O","BU","FB","GB","LD","PU","X1BO","X2BO","X3BO","RELEASE_HEIGHT","RELEASE_SIDE","RELEASE_EXTENSION","HORIZONTAL_BREAK","INDUCED_VERTICAL_BREAK","VERTICAL_APPROACH_ANGLE","HORIZONTAL_APPROACH_ANGLE"
-15.1828470230103,2.022072600247e+18,"A","R","L",1,1,2,0,1,"BallCalled","NULL","CB",78.5283966064453,70.8871002197266,1621.96997070313,28.1207008361816,3.31820011138916,1.51429998874664,-1.44762003421783,4.38404989242554,1,0,0,0,0,0,0,0,0,0,0,5.66518020629883,-0.847748994827271,5.38321018218994,8.339280128479,NA,-7.47868013381958,0.18911699950695
-15.6883974075317,2.022072600247e+18,"A","R","L",1,1,3,1,1,"BallCalled","NULL","CB",78.1321029663086,70.8164978027344,1646.82995605469,21.8092002868652,3.31820011138916,1.51429998874664,-0.512018024921417,3.34248995780945,1,0,0,0,0,0,0,0,0,0,0,5.76491022109985,-0.849192023277283,6.02915000915527,6.46749019622803,NA,-8.76200008392334,1.01332998275757
-13.5803470611572,2.022072600247e+18,"A","R","L",1,3,1,0,0,"BallCalled","NULL","CB",79.0744018554688,71.5310974121094,1478.7900390625,34.3026008605957,3.46399998664856,1.59049999713898,0.541123986244202,3.40873003005981,1,0,0,0,0,0,0,0,1,1,0,5.63306999206543,-0.874939024448395,5.50182008743286,9.51762962341309,NA,-8.24349021911621,2.45894002914429
-16.510591506958,2.022072600247e+18,"A","R","L",1,3,2,1,0,"InPlay","force_out","CB",77.5495986938477,70.1517028808594,1713.5,29.8229007720947,3.46399998664856,1.59049999713898,-0.0113893002271652,2.40665006637573,0,1,1,0,0,1,0,0,1,1,0,5.63967990875244,-1.05966997146606,5.80082988739014,8.99503040313721,NA,-9.68190956115723,2.02992010116577
-14.6656970977783,2.022072600247e+18,"A","R","R",3,1,2,0,1,"BallCalled","NULL","CB",79.1967010498047,72.0980987548828,1643.65002441406,30.0121002197266,3.51259994506836,1.61590003967285,0.667264997959137,3.6368100643158,1,0,0,0,0,0,0,0,0,0,0,5.69083976745605,-0.757013022899628,5.7399001121521,8.89124011993408,NA,-8.12580966949463,2.40985989570618
-15.3312377929688,2.022072600247e+18,"A","R","R",3,1,3,1,1,"InPlay","field_out","CB",79.3356018066406,72.2883987426758,1875.68994140625,33.7512016296387,3.51259994506836,1.61590003967285,0.635617971420288,1.86329996585846,0,1,1,0,0,1,0,0,0,0,0,5.59703016281128,-0.914635002613068,5.85923004150391,10.5811004638672,NA,-9.9583101272583,2.72493004798889
-14.4190216064453,2.022072600247e+18,"A","R","L",3,2,2,1,0,"FoulBall","NULL","CB",78.715202331543,71.8408966064453,1686.68005371094,33.4971008300781,3.31820011138916,1.51429998874664,0.490352988243103,2.26104998588562,0,1,0,0,0,0,0,0,0,0,0,5.50467014312744,-0.997277975082397,5.75452995300293,10.0176000595093,NA,-9.41199970245361,2.59255003929138
-13.4283065795898,2.022072600247e+18,"A","R","R",4,1,1,0,0,"BallCalled","NULL","CB",80.2001037597656,73.1673965454102,1432.59997558594,35.4154014587402,3.36680006980896,1.53970003128052,0.96092700958252,1.20490002632141,1,0,0,0,0,0,0,0,0,0,0,5.6153998374939,-1.0100200176239,5.73347997665405,9.58238983154297,NA,-10.3403997421265,3.07066988945007
-15.7081594467163,2.022072600247e+18,"A","R","R",4,1,2,1,0,"StrikeSwinging","NULL","CB",79.8506011962891,72.8602981567383,1784.63000488281,34.206298828125,3.36680006980896,1.53970003128052,0.25009098649025,1.07290995121002,0,1,0,0,0,0,0,0,0,0,0,5.64254999160767,-0.844877004623413,5.66054010391235,10.5094995498657,NA,-10.7358999252319,2.22166991233826
-15.3056173324585,2.022072600247e+18,"A","R","R",4,4,1,0,0,"StrikeCalled","NULL","CB",77.4503021240234,70.2088012695313,1626.09997558594,31.3173007965088,3.31820011138916,1.51429998874664,0.197106003761292,2.97574996948242,0,1,0,0,0,0,0,0,1,0,0,5.61243009567261,-0.896000027656555,5.70593023300171,9.21506977081299,NA,-8.9749698638916,2.09213995933533
-14.0191869735718,2.022072600247e+18,"A","R","R",4,4,2,0,1,"BallCalled","NULL","CB",78.1046981811523,70.532096862793,1757.30004882813,37.097599029541,3.31820011138916,1.51429998874664,-0.628023028373718,3.91529011726379,1,0,0,0,0,0,0,0,1,0,0,5.57064008712769,-0.795785009860992,5.58260011672974,11.2119998931885,NA,-7.84603023529053,1.29734003543854
-13.8825521469116,2.022072600247e+18,"A","R","R",4,5,1,0,0,"StrikeCalled","NULL","CB",79.5866012573242,72.1201019287109,1655.14001464844,36.1212005615234,3.51259994506836,1.61590003967285,0.50414901971817,1.87783002853394,0,1,0,0,0,0,0,0,1,1,0,5.5859899520874,-0.849776983261108,5.84715986251831,10.4888000488281,NA,-9.80848979949951,2.50955009460449
-6.96827554702759,2.022072700247e+18,"B","L","L",1,1,3,0,2,"BallCalled","NULL","CB",80.654899597168,75.4130020141602,572.086975097656,319.867004394531,3.31820011138916,1.51429998874664,-2.00284004211426,-0.69737297296524,1,0,0,0,0,0,0,0,0,0,0,5.85465002059937,1.4300400018692,5.25570011138916,-5.97935009002686,NA,-11.7087001800537,-4.22906017303467
-5.05974960327148,2.022072700247e+18,"B","L","L",1,1,4,1,2,"BallCalled","NULL","CB",79.2994003295898,73.7053985595703,645.390991210938,303.161987304688,3.31820011138916,1.51429998874664,-1.46598994731903,0.589920997619629,1,0,0,0,0,0,0,0,0,0,0,5.85504007339478,1.37949001789093,5.25197982788086,-8.90124988555908,NA,-10.4181003570557,-3.88911008834839
-4.71597242355347,2.022072700247e+18,"B","L","R",1,5,1,0,0,"BallCalled","NULL","CB",78.8489990234375,72.9019012451172,496.240997314453,305.321014404297,3.36680006980896,1.53970003128052,-1.05002999305725,0.935826003551483,1,0,0,0,0,0,0,0,1,1,0,5.90706014633179,1.44657003879547,5.4235200881958,-6.83712005615234,NA,-10.1082000732422,-3.33206009864807
-4.98354196548462,2.022072700247e+18,"B","L","R",1,5,4,1,2,"BallCalled","wild_pitch","CB",79.8571014404297,74.3331985473633,569.067016601563,305.170013427734,3.36680006980896,1.53970003128052,-0.736921012401581,-0.248260006308556,1,0,0,0,0,0,0,0,1,1,0,5.83586978912354,1.41839003562927,5.55738019943237,-7.70344018936157,NA,-11.183500289917,-3.05806994438171
-2.56586575508118,2.022072700247e+18,"B","L","R",1,7,1,0,0,"StrikeCalled","NULL","CB",79.9263000488281,74.3331985473633,368.154998779297,291.346008300781,3.51259994506836,1.61590003967285,-0.219579994678497,1.59222996234894,0,1,0,0,0,0,0,0,1,1,1,5.84557008743286,1.60766005516052,5.52876996994019,-6.27092981338501,NA,-8.94067001342773,-2.56251001358032
-4.96128273010254,2.022072700247e+18,"B","L","R",1,7,2,0,1,"StrikeSwinging","NULL","CB",80.434196472168,74.7744979858398,526.916015625,306.404998779297,3.51259994506836,1.61590003967285,-0.946846008300781,1.06547999382019,0,1,0,0,0,0,0,0,1,1,1,5.80258989334106,1.49046003818512,5.2788200378418,-7.12412023544312,NA,-9.67621040344238,-3.28338003158569
-2.49581599235535,2.022072700247e+18,"B","L","R",2,1,2,1,0,"FoulBall","NULL","CB",79.551399230957,73.9745025634766,310.348999023438,302.273010253906,3.51259994506836,1.61590003967285,0.138638004660606,2.03420996665955,0,1,0,0,0,0,0,0,0,0,0,5.87341976165771,1.50578999519348,5.20558023452759,-4.66632986068726,NA,-8.58092021942139,-1.90322995185852
1.54809093475342,2.022072700247e+18,"B","L","R",2,1,3,1,1,"StrikeSwinging","NULL","CB",79.9963989257813,74.1232986450195,412.325988769531,264.786987304688,3.51259994506836,1.61590003967285,0.180410996079445,3.07048988342285,0,1,0,0,0,0,0,0,0,0,0,5.89802980422974,1.36533999443054,5.35888004302979,-8.25918960571289,NA,-7.12715005874634,-2.06164002418518
-3.91703391075134,2.022072700247e+18,"B","L","R",2,1,4,1,2,"StrikeSwinging","strikeout","CB",78.3324966430664,72.6886978149414,673.526000976563,292.980987548828,3.51259994506836,1.61590003967285,0.00883563980460167,0.21186900138855,0,1,1,0,0,0,0,0,0,0,0,5.86212015151978,1.32615995407104,5.06068992614746,-10.493200302124,NA,-10.7948999404907,-2.41377997398376
-4.70018005371094,2.022072700247e+18,"B","L","R",2,2,3,1,1,"BallCalled","NULL","CB",79.8388977050781,73.9240036010742,643.474975585938,296.217987060547,3.41540002822876,1.5650999546051,-0.679053008556366,-0.46655398607254,1,0,0,0,0,0,0,0,0,0,0,5.74656009674072,1.41617000102997,5.65432977676392,-9.4778003692627,NA,-11.3001003265381,-3.1777400970459
-6.11652660369873,2.022072700247e+18,"B","L","R",2,2,4,2,1,"StrikeSwinging","NULL","CB",79.2572021484375,73.5071029663086,588.122985839844,311.234985351563,3.41540002822876,1.5650999546051,0.192498996853828,0.733466982841492,0,1,0,0,0,0,0,0,0,0,0,5.84456014633179,1.51164996623993,5.32292985916138,-7.21560001373291,NA,-10.3157997131348,-2.10784006118774
-3.13764119148254,2.022072700247e+18,"B","L","R",2,2,7,3,2,"BallCalled","walk","CB",79.7285995483398,73.6110992431641,662.934020996094,289.497985839844,3.41540002822876,1.5650999546051,0.344155013561249,1.21158003807068,1,0,0,0,0,0,0,0,0,0,0,5.86766004562378,1.51136994361877,5.32456016540527,-10.461199760437,NA,-9.56669044494629,-2.26410007476807
-2.80282163619995,2.022072700247e+18,"B","L","R",2,4,2,0,1,"StrikeSwinging","NULL","CB",78.7033996582031,73.1744995117188,597.056030273438,285.274993896484,3.31820011138916,1.51429998874664,0.261936008930206,0.0850834995508194,0,1,0,0,0,0,0,0,1,0,0,5.80625009536743,1.4853800535202,5.07004022598267,-10.2417001724243,NA,-10.6513996124268,-2.28776001930237
